#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|web_id_locator(deprecated)
1595379|2005-05-02T06:06:24.470000|41.1|15.12|20.1|BULLETIN-SISPICK||||ML|2.0|Bollettino Sismico Italiano INGV|AVELLINO|0
1595389|2005-05-02T07:27:34.660000|43.386|12.539|8.2|BULLETIN-SISPICK||||Md|2.0|Bollettino Sismico Italiano INGV|PERUGIA|0
1595409|2005-05-02T14:07:18.110000|41.136|15.14|17.2|BULLETIN-SISPICK||||ML|2.3|Bollettino Sismico Italiano INGV|AVELLINO|0
1595419|2005-05-02T14:17:46.020000|41.707|14.162|9.9|BULLETIN-SISPICK||||ML|2.8|Bollettino Sismico Italiano INGV|ISERNIA|0
1595429|2005-05-02T14:26:49.030000|42.753|11.51|9.9|BULLETIN-SISPICK||||ML|2.4|Bollettino Sismico Italiano INGV|GROSSETO|0
1595449|2005-05-02T14:46:11.880000|42.751|11.499|2.8|BULLETIN-SISPICK||||ML|2.5|Bollettino Sismico Italiano INGV|GROSSETO|0
1595459|2005-05-02T14:50:56.340000|42.773|11.517|9.8|BULLETIN-SISPICK||||ML|2.0|Bollettino Sismico Italiano INGV|GROSSETO|0
1595579|2005-05-02T22:21:18.670000|41.674|14.912|15.2|BULLETIN-SISPICK||||ML|2.3|Bollettino Sismico Italiano INGV|CAMPOBASSO|0
1595599|2005-05-02T22:47:17.920000|43.421|12.513|13.7|BULLETIN-SISPICK||||Md|2.0|Bollettino Sismico Italiano INGV|PERUGIA|0
1595669|2005-05-03T04:05:34.060000|41.704|14.163|9.5|BULLETIN-SISPICK||||ML|2.0|Bollettino Sismico Italiano INGV|ISERNIA|0
1595679|2005-05-03T04:43:11.000000|38.393|15.488|123|BULLETIN-SISPICK||||ML|2.1|Bollettino Sismico Italiano INGV|MESSINA|0
1595699|2005-05-03T07:13:50.950000|42.594|13.443|18.5|BULLETIN-SISPICK||||ML|2.1|Bollettino Sismico Italiano INGV|TERAMO|0
1595719|2005-05-03T10:16:27.280000|43.377|12.499|13|BULLETIN-SISPICK||||ML|2.5|Bollettino Sismico Italiano INGV|PERUGIA|0
1595749|2005-05-03T11:37:09.010000|37.36|15.948|40.1|BULLETIN-SISPICK||||ML|2.3|Bollettino Sismico Italiano INGV|Mar_Ionio           |0
1595759|2005-05-03T11:54:41.400000|41.358|14.27|9.4|BULLETIN-SISPICK||||Md|2.3|Bollettino Sismico Italiano INGV|CASERTA|0
1595769|2005-05-03T12:14:13.730000|40.62|15.641|26.8|BULLETIN-SISPICK||||Md|2.2|Bollettino Sismico Italiano INGV|POTENZA|0
1595879|2005-05-03T22:30:55.590000|43.384|12.501|12|BULLETIN-SISPICK||||ML|2.0|Bollettino Sismico Italiano INGV|PERUGIA|0
1595889|2005-05-03T22:40:02.160000|43.809|11.943|22.4|BULLETIN-SISPICK||||ML|2.7|Bollettino Sismico Italiano INGV|FORLI|0
